bathrooms,bedrooms,condition,floors,grade,price,sqft_above,sqft_basement,sqft_living,sqft_living15,sqft_lot,sqft_lot15,view,waterfront,yr_built,yr_renovated_bool,zipcode
1.0,3,3,1.0,7,221900.0,1180,0,1180,1340,5650,5650,0,0,1955,0,98178
2.25,3,3,2.0,7,538000.0,2170,400,2570,1690,7242,7639,0,0,1951,1,98125
1.0,2,3,1.0,6,180000.0,770,0,770,2720,10000,8062,0,0,1933,0,98028
3.0,4,5,1.0,7,604000.0,1050,910,1960,1360,5000,5000,0,0,1965,0,98136
2.0,3,3,1.0,8,510000.0,1680,0,1680,1800,8080,7503,0,0,1987,0,98074
4.5,4,3,1.0,11,1225000.0,3890,1530,5420,4760,101930,101930,0,0,2001,0,98053
2.25,3,3,2.0,7,257500.0,1715,0,1715,2238,6819,6819,0,0,1995,0,98003
1.5,3,3,1.0,7,291850.0,1060,0,1060,1650,9711,9711,0,0,1963,0,98198
1.0,3,3,1.0,7,229500.0,1050,730,1780,1780,7470,8113,0,0,1960,0,98146
2.5,3,3,2.0,7,323000.0,1890,0,1890,2390,6560,7570,0,0,2003,0,98038
2.5,3,3,1.0,8,662500.0,1860,1700,3560,2210,9796,8925,0,0,1965,0,98007
1.0,2,4,1.0,7,468000.0,860,300,1160,1330,6000,6000,0,0,1942,0,98115
1.0,3,4,1.5,7,310000.0,1430,0,1430,1780,19901,12697,0,0,1927,0,98028
1.75,3,4,1.0,7,400000.0,1370,0,1370,1370,9680,10208,0,0,1977,0,98074
2.0,5,3,1.5,7,530000.0,1810,0,1810,1360,4850,4850,0,0,1900,0,98107
3.0,4,3,2.0,9,650000.0,1980,970,2950,2140,5000,4000,3,0,1979,0,98126
2.0,3,3,2.0,7,395000.0,1890,0,1890,1890,14040,14018,0,0,1994,0,98019
1.0,4,4,1.5,7,485000.0,1600,0,1600,1610,4300,4300,0,0,1916,0,98103
1.0,2,4,1.0,7,189000.0,1200,0,1200,1060,9850,5095,0,0,1921,0,98002
1.0,3,4,1.0,7,230000.0,1250,0,1250,1280,9774,8850,0,0,1969,0,98003
1.75,4,4,1.0,7,385000.0,860,760,1620,1400,4980,4980,0,0,1947,0,98133
2.75,3,3,1.0,9,2000000.0,2330,720,3050,4110,44867,20336,4,0,1968,0,98040
2.5,5,3,2.0,8,285000.0,2270,0,2270,2240,6300,7005,0,0,1995,0,98092
1.5,2,3,1.0,7,252700.0,1070,0,1070,1220,9643,8386,0,0,1985,0,98030
2.25,3,4,2.0,8,329000.0,2450,0,2450,2200,6500,6865,0,0,1985,0,98030
2.0,3,5,1.5,6,233000.0,1710,0,1710,1030,4697,4705,0,0,1941,0,98002
1.75,3,3,2.0,8,937000.0,1750,700,2450,1760,2691,3573,0,0,1915,0,98119
1.0,3,5,1.5,8,667000.0,1400,0,1400,1860,1581,3861,0,0,1909,0,98112
1.75,3,3,1.0,7,438000.0,790,730,1520,1520,6380,6235,0,0,1948,0,98115
2.5,4,3,2.0,8,719000.0,2570,0,2570,2630,7173,6026,0,0,2005,0,98052
2.5,3,3,2.0,8,580500.0,2320,0,2320,2580,3980,3980,0,0,2003,0,98027
1.5,2,3,3.0,7,280000.0,1190,0,1190,1390,1265,1756,0,0,2005,0,98133
1.75,4,4,1.5,7,687500.0,1510,820,2330,1460,5000,5000,0,0,1929,0,98117
