bathrooms,bedrooms,condition,floors,grade,sqft_above,sqft_basement,sqft_living,sqft_living15,sqft_lot,sqft_lot15,view,waterfront,yr_built,yr_renovated,yr_renovated_bool,zipcode,price,zipcode_price
1.75,3,4,1.5,8,1910,0,1910,1820,17003,14806,0,0,1963,0,0,98001,175000.0,9
1.75,2,4,1.0,7,1490,0,1490,2280,9874,9869,0,0,1963,0,0,98004,898000.0,9
1.75,4,4,1.0,8,1990,0,1990,2620,8900,8925,0,0,1972,0,0,98006,745000.0,9
2.5,4,3,2.0,8,2200,940,3140,2860,7260,8186,0,0,2004,0,0,98006,744000.0,9
3.5,5,3,2.0,11,3480,1320,4800,4050,14984,19009,2,0,1998,0,0,98006,1350000.0,9
2.75,4,3,1.0,7,1210,850,2060,1940,7350,7420,0,0,1978,0,0,98001,275000.0,9
2.5,4,3,2.0,10,2660,0,2660,2920,8469,10697,0,0,1994,0,0,98006,751305.0,9
1.75,4,4,1.0,7,1300,0,1300,2120,21000,9920,0,0,1969,0,0,98001,229950.0,9
3.0,5,4,1.0,8,1550,950,2500,2580,11779,12055,0,0,1971,0,0,98006,730000.0,9
2.5,3,3,2.0,8,1880,0,1880,1840,3054,3815,0,0,1988,0,0,98007,541900.0,9
1.75,4,3,1.0,7,1050,800,1850,1450,7350,7250,0,0,1965,0,0,98001,270000.0,9
2.25,4,4,2.0,8,2130,0,2130,3380,10650,10050,0,0,1977,0,0,98006,686000.0,9
2.75,4,4,1.0,8,1700,800,2500,2650,20000,20000,0,0,1969,0,0,98004,950000.0,9
2.5,2,5,2.0,10,2610,570,3180,3760,9400,9450,4,0,1985,0,0,98006,1505000.0,9
1.75,3,4,1.0,7,1100,810,1910,1910,12321,11761,0,0,1952,0,0,98004,746000.0,9
2.5,4,3,2.0,9,2891,0,2891,2550,6499,8383,0,0,2014,0,0,98001,415000.0,9
2.75,4,5,1.0,8,1630,880,2510,2390,11880,11211,0,0,1978,0,0,98006,664000.0,9
2.5,5,3,1.0,7,1400,1250,2650,1960,11455,9880,0,0,1961,0,0,98008,565000.0,9
1.0,3,5,1.0,7,1220,0,1220,1310,9600,9600,0,0,1958,0,0,98001,210500.0,9
3.25,4,3,2.0,11,4110,0,4110,4190,15488,14973,2,0,1995,0,0,98006,935000.0,9
1.0,4,5,1.0,7,950,850,1800,1290,12485,9840,0,0,1955,0,0,98006,425000.0,9
2.25,4,5,1.0,8,1700,640,2340,1890,5300,8250,0,0,1963,0,0,98008,665000.0,9
2.5,5,3,1.0,8,1420,670,2090,2490,8712,8712,0,0,1966,0,0,98008,555000.0,9
1.5,3,4,1.0,7,1820,0,1820,3020,12686,11550,0,0,1952,0,0,98004,875000.0,9
1.75,3,4,1.0,7,1440,800,2240,1740,9200,9600,0,0,1968,0,0,98001,276000.0,9
2.5,4,4,1.0,8,1490,750,2240,2640,9934,11622,0,0,1968,0,0,98005,650000.0,9
2.25,4,3,2.0,7,1870,0,1870,1650,6693,6518,0,0,1996,0,0,98003,299000.0,9
2.25,4,3,2.0,8,2050,0,2050,2310,9720,9680,0,0,1967,0,0,98008,545000.0,9
2.0,3,5,1.0,7,1100,660,1760,1730,9282,7500,0,0,1947,0,0,98001,215000.0,9
2.5,4,3,2.0,8,3362,0,3362,2770,8601,8601,0,0,2004,0,0,98003,410500.0,9
2.5,3,3,2.0,9,1830,830,2660,2800,10928,10025,0,0,1988,0,0,98006,768000.0,9
2.25,4,3,2.0,8,2290,0,2290,2040,10409,10409,0,0,1972,0,0,98005,745000.0,9
1.5,3,4,1.0,7,1380,0,1380,1600,12196,10720,0,0,1967,0,0,98003,285000.0,9
1.5,4,4,1.0,7,1350,0,1350,1930,8113,8113,0,0,1959,0,0,98004,595000.0,9
2.5,4,3,2.0,7,1740,0,1740,1720,7895,6813,0,0,1999,0,0,98001,302000.0,9
2.5,4,5,1.5,10,3430,0,3430,3700,43560,44431,2,0,1979,0,0,98005,960000.0,9
1.5,3,3,1.0,7,1460,0,1460,1510,15000,15000,0,0,1966,0,0,98001,232000.0,9
1.0,3,4,1.0,7,1360,0,1360,1530,20000,9997,0,0,1953,0,0,98001,159000.0,9
2.25,5,4,1.0,8,1870,690,2560,2070,10360,7875,0,0,1966,0,0,98008,667000.0,9
2.25,3,3,2.0,7,2070,0,2070,1890,11576,7519,0,0,1974,0,0,98001,196000.0,9
2.0,3,4,1.0,8,1800,0,1800,2400,10950,11300,0,0,1982,0,0,98006,440000.0,9
2.5,3,3,2.0,7,1794,0,1794,3557,4769,4807,0,0,2005,0,0,98001,254950.0,9
2.25,3,3,2.0,7,1640,0,1640,1600,6044,7418,0,0,1996,0,0,98002,275000.0,9
2.25,4,3,1.0,8,1640,1220,2860,2670,26136,25040,0,0,1977,0,0,98005,740000.0,9
2.5,4,3,1.0,7,1120,700,1820,1310,8217,8217,0,0,1987,0,0,98001,234000.0,9
3.25,4,3,3.0,9,2590,0,2590,2590,3889,4062,0,0,2013,0,0,98007,760000.0,9
1.0,2,3,1.0,7,860,0,860,1740,6510,10800,0,0,1952,0,0,98004,605000.0,9
1.75,3,4,1.0,7,1230,0,1230,1530,10005,8560,0,0,1963,0,0,98008,420000.0,9
1.75,3,4,1.0,8,1680,0,1680,2250,10500,10400,0,0,1959,0,0,98005,675000.0,9
2.5,4,3,2.0,8,2610,0,2610,2280,7333,9033,0,0,1988,0,0,98003,360000.0,9
1.0,4,4,1.5,7,1750,0,1750,1750,9600,10530,0,0,1954,0,0,98006,420000.0,9
2.5,3,3,2.0,9,2480,0,2480,2600,7428,8322,0,0,1990,0,0,98006,729000.0,9
1.75,4,4,1.0,7,1060,1060,2120,1540,7420,7420,0,0,1956,0,0,98008,453000.0,9
1.5,4,3,1.0,7,1000,550,1550,1730,9176,8539,0,0,1956,0,0,98008,418000.0,9
1.0,3,4,1.0,6,1200,0,1200,1250,8316,8316,0,0,1953,0,0,98002,190000.0,9
3.5,4,3,1.0,12,2230,2330,4560,4060,16643,15177,3,0,1995,0,0,98006,1200000.0,9
4.5,4,3,2.0,10,4020,0,4020,1960,9656,9520,0,0,2007,0,0,98004,1898000.0,9
2.25,3,4,1.0,8,1550,750,2300,2000,7200,7350,0,0,1978,0,0,98003,287000.0,9
1.75,4,4,1.0,7,880,850,1730,1550,7245,7245,0,0,1955,0,0,98007,423000.0,9
2.5,4,3,2.0,10,2750,0,2750,2750,9949,9860,0,0,1999,0,0,98007,1050000.0,9
1.75,2,3,1.0,7,1280,0,1280,1450,6774,7810,0,0,1991,0,0,98002,193000.0,9
1.75,4,4,1.0,9,1930,0,1930,2110,9310,10290,0,0,1968,0,0,98008,670000.0,9
2.5,4,4,2.0,7,2100,0,2100,1840,8886,9058,0,0,1964,0,0,98007,485000.0,9
2.5,5,4,1.0,9,1760,1680,3440,3440,12350,12763,2,0,1976,0,0,98003,549000.0,9
2.0,3,4,1.0,7,1110,500,1610,1920,7575,8400,0,0,1965,0,0,98003,197400.0,9
1.5,3,4,2.0,6,1280,0,1280,1070,5065,4491,0,0,1983,0,0,98002,215000.0,9
1.75,3,4,1.0,7,2060,650,2710,1690,9088,10454,0,0,1965,0,0,98001,278000.0,9
1.75,3,4,1.0,7,2090,0,2090,1700,12026,9496,0,0,1948,0,0,98002,248500.0,9
1.75,3,3,1.0,7,1330,0,1330,1270,13102,11475,0,0,1968,0,0,98003,225000.0,9
2.5,3,4,2.0,7,1560,0,1560,1510,4800,12240,0,0,1974,0,0,98001,239950.0,9
2.5,4,5,1.0,8,1500,770,2270,2270,9247,9163,0,0,1972,0,0,98006,619850.0,9
1.0,3,4,1.0,6,960,0,960,960,10761,10761,0,0,1962,0,0,98002,193000.0,9
1.0,3,4,1.0,7,1690,0,1690,1590,7700,7700,0,0,1969,0,0,98003,215000.0,9
1.75,4,4,1.0,8,1320,660,1980,2310,10800,10800,0,0,1953,0,0,98005,700000.0,9
1.75,5,3,1.0,8,2650,0,2650,2780,11340,13204,0,0,1955,0,0,98004,1388000.0,9
2.5,4,3,2.0,9,2820,0,2820,2597,6983,7222,0,0,2013,0,0,98001,457000.0,9
2.25,4,4,1.0,8,2180,480,2660,2660,22194,18135,0,0,1977,0,0,98008,625000.0,9
1.0,3,3,1.0,6,1280,0,1280,1230,9775,8750,0,0,1964,0,0,98003,215000.0,9
2.25,4,4,1.0,7,1850,0,1850,1650,9911,8670,0,0,1957,0,0,98008,485000.0,9
2.5,5,3,1.5,9,3600,1000,4600,5500,23250,20066,2,0,1918,2003,1,98004,2408000.0,9
2.5,5,3,1.5,7,1710,0,1710,1530,7700,7700,0,0,1962,0,0,98007,431650.0,9
2.0,3,5,1.0,7,1460,0,1460,1850,7860,8148,0,0,1967,0,0,98008,480000.0,9
2.25,4,4,1.0,8,1890,0,1890,1920,8034,7210,0,0,1967,0,0,98008,521000.0,9
1.75,4,4,1.0,7,1000,520,1520,1510,9600,9000,0,0,1955,0,0,98006,508450.0,9
2.5,4,3,2.0,8,2130,0,2130,2350,9013,8982,0,0,1988,0,0,98001,310000.0,9
2.0,5,4,1.0,8,1720,0,1720,2700,9972,9023,0,0,1951,0,0,98004,845000.0,9
2.75,6,4,1.0,10,2180,1790,3970,2490,9500,9775,0,0,1970,0,0,98005,810000.0,9
1.5,3,4,1.0,7,1570,0,1570,1570,6700,7300,0,0,1956,0,0,98007,419000.0,9
4.25,6,3,2.0,10,4170,1550,5720,4300,10213,10224,0,0,2004,0,0,98006,1325000.0,9
2.25,4,3,1.0,8,1660,0,1660,1790,7350,7455,0,0,1965,2014,1,98008,610000.0,9
2.5,4,3,1.0,7,1220,950,2170,2010,8680,8680,0,0,1959,0,0,98004,685000.0,9
2.5,3,3,2.0,8,1360,0,1360,1540,7293,7353,0,0,1988,0,0,98003,248500.0,9
2.5,3,3,2.0,8,1600,0,1600,1890,7982,9830,0,0,1993,0,0,98001,315000.0,9
1.0,2,3,1.0,6,1370,0,1370,1690,9460,9930,0,0,1950,0,0,98004,720000.0,9
2.25,3,3,2.0,7,1765,0,1765,1765,7652,7719,0,0,1996,0,0,98003,250000.0,9
1.5,4,4,1.0,7,1030,550,1580,1520,10260,7000,0,0,1955,0,0,98007,475000.0,9
